Govinda | Aishwarya Rai Bachchan | Jackie Shroff | Namrata Shirodkar
Aamir Khan | Gracy Singh | Rachel Shelley | Paul Blackthorne
Akshay Kumar | Sridevi | Gulshan Grover | Laxmikant Berde
Shah Rukh Khan | Madhuri Dixit | Salman Khan | Atul Agnihotri
Shah Rukh Khan | Juhi Chawla | Jackie Shroff | Nirmal Pandey
Shah Rukh Khan | Madhuri Dixit | Aishwarya Rai Bachchan | Jackie Shroff
Hrithik Roshan | Ameesha Patel | Kiran Kumar | Mukesh Tiwari
Amitabh Bachchan | Jaya Bhaduri | Shah Rukh Khan | Kajol
Saif Ali Khan | Hrithik Roshan | Esha Deol | Alok Nath
Jackie Shroff | Hrithik Roshan | Kareena Kapoor | Amrish Puri
Karisma Kapoor | Rekha | Manoj Bajpayee | Rajit Kapoor
Preity Zinta | Salman Khan | Rani Mukerji | Amrish Puri
Hrithik Roshan | Kareena Kapoor | Abhishek Bachchan | Johnny Lever
Sunil Shetty | Raveena Tandon | Danny Denzongpa | Sadashiv Amrapurkar
Tabu | Atul Kulkarni | Rajpal Yadav | Shri Vallabh Vyas
Kajol | Rishi Kapoor | Rati Agnihotri | Sunil Shetty
Dev Anand | Hema Malini | Shammi Kapoor | Rekha
Sunny Deol | Preity Zinta | Jackie Shroff | Om Puri
Rekha | Naseeruddin Shah | Arshad Warsi | Suman Ranganathan
Rani Mukerji | Hrithik Roshan | Kareena Kapoor | Uday Chopra
Raveena Tandon | Sayaji Shinde | Sanjay Suri | Raima Sen
Bobby Deol | Rahul Dev | Dinesh Hingoo | Vrajesh Hirjee
Sadashiv Amrapurkar | Vinay Anand | Pooja Batra | Govinda
Rani Mukerji | Govinda | Om Puri | Laxmikant Berde
Jackie Shroff | Manisha Koirala | Anupama Verma | Prasad Purandhare
Neha | Rajeshwari Sachdev | Gulshan Grover | Nina Kulkarni
Akshay Kumar | Bobby Deol | Kareena Kapoor | Bipasha Basu
Sanjay Dutt | Govinda | Twinkle Khanna | Monica Bedi
Tinnu Anand | Raj Babbar | Laxmikant Berde | Avtar Gill
Jimi Mistry | Heather Graham | Marisa Tomei | Michael McKean
Fardeen Khan | Ravi Baswani | Kannu Gill | Sonali Kulkarni
Rani Mukerji | Abhishek Bachchan | Sushmita Sen | Jackie Shroff
Sunny Deol | Ameesha Patel | Amrish Puri | Lillete Dubey
Tusshar Kapoor | Kareena Kapoor | Amrish Puri | Rinke Khanna
Karan Nath | Aarti Agarwal | Vilas Ujawane | Bharat Dabholkar
Saif Ali Khan | Fardeen Khan | Aftab Shivdasani | Sonali Bendre
Puru Rajkumar | Dipti Bhatnagar | Kanchan | Laxmikant Berde
Amitabh Bachchan | Raveena Tandon | Manoj Bajpayee | Nandita Das
Priyanshu Chatterjee | Himanshu Malik | Sandali Sinha | Raqesh Vashisth
Anil Kapoor | Rani Mukerji | Amrish Puri | Johnny Lever
Aamir Khan | Saif Ali Khan | Akshaye Khanna | Preity Zinta
Fardeen Khan | Reema Sen | Apoorva Agnihotri | Suman Ranganathan
Ajay Devgn | Madhuri Dixit | Preity Zinta | Vikram Gokhale
Rekha | Anil Kapoor | Jackie Shroff | Madhuri Dixit
Amitabh Bachchan | Sanjay Dutt | Sunil Shetty | Mahesh Manjrekar
Sudhir Dalvi | Dharmendra | Vikram Gokhale | Rohini Hattangadi
Neeru Bajwa | Ruby Bhatia | Vekeana Dhillon | Vikram Dhillon
Ajay Devgn | Mohanlal | Manisha Koirala | Seema Biswas
Sunil Shetty | Mukul Dev | Pooja Batra | Anupama Verma
Sunil Shetty | Mahima Chaudhry | Paresh Rawal | Saurabh Shukla
Ameesha Patel | Jimmy Shergill | Nafisa Ali | Gulshan Grover
Madhavan | Saif Ali Khan | Dia Mirza | Vrajesh Hirjee
Malaika Arora | Raj Babbar | Rana Jung Bahadur | Balwant Bansal
Arjun Rampal | Dia Mirza | Vinod Khanna | Om Puri
Arjun Rampal | Manisha Koirala | Kalpana Pandit | Suresh Oberoi
Ajay Devgn | Sonali Bendre | Namrata Shirodkar | Prem Chopra
Anand Raj Anand | Sunidhi Chauhan | Nagesh Haldankar | Shakti Kapoor
Shailendra Gaur | Pankaj Berry | Tom Alter | Hemant Birje
Govinda | Juhi Chawla | Tabu | Chandrachur Singh
Sanjay Dutt | Nandita Das | Sachin Khedekar | Tanvi Hegde
Amitabh Bachchan | Akshay Kumar | Sushmita Sen | Arjun Rampal
Jaya Bhaduri | Aftab Shivdasani | Sanjay Kapoor | Juliet Alburque
Sharman Joshi | Sahil Khan | Riya Sen | Shillpi Sharma
Sunny Deol | Tabu | Arbaaz Khan | Tinnu Verma
Jividha Sharma | Mohan Azaad | Arun Bakshi | Rajat Bedi
Tabu | Sushmita Sen | Sanjay Suri | Palash Sen
Akshay Kumar | Karisma Kapoor | Abhishek Bachchan | Kader Khan
Akanksha Malhotra | Rahul Bhat | Nasir Khan | Pinky Campbell
Salman Khan | Sushmita Sen | Dia Mirza | Sharat Saxena
Vinod Khanna | Bobby Deol | Ameesha Patel | Rati Agnihotri
Manisha Koirala | Nawab Shah | Vineeta Malik | Prithvi Zutshi
Jackie Shroff | Aftab Shivdasani | Ameesha Patel | Anupama Verma
Fardeen Khan | Amrita Arora | Satish Shah | Tiku Talsania
Nana Patekar | Anupama Verma | Puru Rajkumar | Nakhul
Danny Denzongpa | Gulshan Grover | Milind Soman | Dipannita Sharma
Vivek Oberoi | Dia Mirza | Atul Kulkarni | Mukesh Rishi
J.D. Chakravarthi | Snehal Dabi | Jayaprakash | Priyanka
Arjun Rampal | Ameesha Patel | Bobby Deol | Achint Kaur
Manoj Bajpayee | Vivek Oberoi | Antara Mali | Sayaji Shinde
Vinay Anand | Rana Jung Bahadur | Rajat Bedi | Sanober Kabir
Om Puri | Ashutosh Rana | Abbas | Sharbani Mukherji
Nandita Das | Sharad S. Kapoor | Makrand Deshpande | Vijay Raaz
Krishna Abhishek | Viveka Babajee | Sheeba Bhakri | Deeksha
Naseeruddin Shah | Sunny Deol | Chunky Pandey | Neelam
Akshay Kumar | Sunil Shetty | Aftab Shivdasani | Preeti Jhangiani
Ajay Devgn | Sushant Singh | D. Santosh | Akhilendra Mishra
Arya Babbar | Amrita Rao | Ashutosh Rana | Shakti Kapoor
Uday Chopra | Tulip Joshi | Jimmy Shergill | Bipasha Basu
Amitabh Bachchan | Hrithik Roshan | Preity Zinta | Sharad S. Kapoor
Bobby Deol | Sunny Deol | Amrita Singh | Rahul Dev
Anil Kapoor | Anang Desai | Rohini Hattangadi | Vinay Jain
Bobby Deol | Akshaye Khanna | Ameesha Patel | Johnny Lever
Sohail Khan | Sameera Reddy | Sanjay Dutt | Kabir Bedi
Ajay Devgn | Sonali Bendre | Rani Mukerji | Kamini Kaushal
Akshay Kumar | Atul Agnihotri | Raj Babbar | Rajat Bedi
Vikram Gokhale | Dinesh Hingoo | Adi Irani | Farida Jalal
Rajesh Khanna | Tusshar Kapoor | Esha Deol | Raj Babbar
Waheeda Rehman | Anil Kapoor | Fardeen Khan | Abhishek Bachchan
Zulfi Sayed | Sonya Jehan | Kabir Bedi | Arbaaz Khan
Rishi Kapoor | Salman Khan | Ameesha Patel | Rati Agnihotri
Shahid Kapoor | Smita Jaykar | Ayesha Takia | Tulip Joshi
Arjun Rampal | Preity Zinta | Mahima Chaudhry | Jimmy Shergill
Sanjay Kapoor | Raveena Tandon | Aditi Govitrikar | Arbaaz Khan
Amitabh Bachchan | Jackie Shroff | Gulshan Grover | Padma Lakshmi
Arjun Rampal | Aishwarya Rai Bachchan | Priyanshu Chatterjee | Rakhee Gulzar
Raveena Tandon | Namrata Shirodkar | Rinke Khanna | Divya Dutta
Vivek Oberoi | Rani Mukerji | Tanuja | Satish Shah
Bobby Deol | Om Puri | Paresh Rawal | Shekhar Suman
Bipasha Basu | Dino Morea | Ashutosh Rana | Banjara
Govinda | Raveena Tandon | Kader Khan | Shakti Kapoor
Kay Kay Menon | Jaya Seal | Naved Aslam | Shri Vallabh Vyas
Saroj Bhargava | Manisha Koirala | Aditya Seal | Ranvir Shorey
Karisma Kapoor | Nana Patekar | Sanjay Kapoor | Jai Gidwani
Amitabh Bachchan | Anil Kapoor | Preity Zinta | Gracy Singh
Lucky Ali | Simone Singh | Achint Kaur | Ehsan Khan
Madhavan | Jimmy Shergill | Sanjay Suri | Namrata Shirodkar
Aftab Shivdasani | Anang Desai | Dinesh Hingoo | Smita Jaykar
Amitabh Bachchan | Hema Malini | Aman Verma | Samir Soni
Sanjay Dutt | Shilpa Shetty | Sharad S. Kapoor | Shakti Kapoor
Vijayendra Ghatge | Kareena Kapoor | Tusshar Kapoor | Kader Khan
Ajay Devgn | Akshaye Khanna | Urmila Matondkar | Farida Jalal
Sunil Shetty | Raveena Tandon | Mohan Joshi | Mohnish Bahl
Rakhee Gulzar | Akshay Kumar | Kareena Kapoor | Pooja Batra
Prashant Chianani | Aamir Ali Malik | Vaibhav Jhalani | Yash Pandit
Sanjay Dutt | Sunil Shetty | Ashutosh Rana | Preeti Jhangiani
Sunil Shetty | Raveena Tandon | Shekhar Suman | Isha Koppikar
Govinda | Raveena Tandon | Preeti Jhangiani | Shakti Kapoor
Sunny Deol | Tabu | Reema Sen | Anupam Kher
Gurdas Mann | Tabu | Ashish Vidyarthi | Rajit Kapoor
Ajay Devgn | Urmila Matondkar | Nana Patekar | Rekha
Sunil Shetty | Namrata Shirodkar | Inder Kumar | Manek Bedi
Anil Kapoor | Karisma Kapoor | Shilpa Shetty | Kaivalya Chheda
Raveena Tandon | Atul Kulkarni | Shri Vallabh Vyas | Govind Namdeo
Sunny Deol | Sunil Shetty | Shilpa Shetty | Ashutosh Rana
Zayed Khan | Esha Deol | Gulshan Grover | Rakhi Sawant
Ashutosh Rana | Tara Deshpande | Jas Arora | Shishir Sharma
Dev Anand | Heenee Kaushik | Shoib Khan | Chaitanya Chaudhary
Aamir Khan | Rani Mukerji | Toby Stephens | Coral Beed
Akshay Kumar | Lara Dutta | Priyanka Chopra | Rajeev Verma
Ajinkya Deo | Nethra Raghuraman | Sayaji Shinde | Rohini Hattangadi
Shah Rukh Khan | Rani Mukerji | Jas Arora | Satish Shah
Sunny Deol | Preity Zinta | Priyanka Chopra | Amrish Puri
Sanjay Suri | Rahul Bose | Juhi Chawla | Rinke Khanna
Shah Rukh Khan | Preity Zinta | Saif Ali Khan | Jaya Bhaduri
Amitabh Bachchan | Akshay Kumar | Ajay Devgn | Aishwarya Rai Bachchan
Sanjay Dutt | Ajay Devgn | Saif Ali Khan | Sunil Shetty
Shah Rukh Khan | Sushmita Sen | Sunil Shetty | Zayed Khan
Urmila Matondkar | Manoj Bajpayee | Sanjay Suri | Sandali Sinha
Shabana Azmi | Urmila Matondkar | Arjun Rampal | Dia Mirza
Imran Ahmed Khan | Sonali Khare | Neelu Kohli | Hiten Paintal
Ritesh Deshmukh | Shakti Kapoor | Supriya Karnik | Satish Shah
Pummy Brar | Priyanshu Chatterjee | Crystal | Harry
Fardeen Khan | Kareena Kapoor | Amrish Puri | Amitabh Bachchan
Ashay Chitre | Esha Deol | Anita Hassandani | Vrajesh Hirjee
Govinda | Kader Khan | Rani Mukerji | Zohra Segal
Bipasha Basu | John Abraham | Gulshan Grover | Vinay Pathak
Atul Kulkarni | Rahul Dev | Suchitra Pillai-Malik | Shweta Menon
Jackie Shroff | Sunil Shetty | Karisma Kapoor | Dino Morea
Sameera Reddy | Antara Mali | Sohail Khan | Saif Ali Khan
Manoj Bajpayee | Isha Koppikar | Nethra Raghuraman | Parmita Katkar
Himanshu Malik | Mallika Sherawat | Shivaji Satam | Mahmud Babai
Amitabh Bachchan | Vivek Oberoi | Aishwarya Rai Bachchan | Om Puri
Saif Ali Khan | Urmila Matondkar | Seema Biswas | Aditya Srivastava
Juhi Babbar | Sonu Nigam | Om Puri | Sharad S. Kapoor
Tanisha | Dino Morea | Karan Nath | Gaurav Kapoor
Amar Upadhyaya | Aditi Govitrikar | Apoorva Agnihotri | Divya Palat
Sanjay Dutt | Govinda | Amrita Arora | Nandini Singh
Kiran Janjani | Vikas Sethi | Adyasha | Mink Singh
Kay Kay Menon | Aditya Srivastava | Joy Fernandes | Vijay Maurya
Raveena Tandon | Alyy Khan | Salman Khan | Viju Khote
Attin Bhalla | Sandali Sinha | Smita Jaykar | Pankaj Dheer
Nandita Das | Uday Chopra | Rahul Dev | Purab Kohli
Jimmy Shergill | Hrishitaa Bhatt | Irrfan Khan | Ashutosh Rana
Shahid Kapoor | Amrita Rao | Shenaz Treasury | Vishal Malhotra
Vikas Kalantri | Anuj Sawhney | Aslam Khan | Mahek Chahal
Shatrughan Sinha | Akshay Kumar | Sunil Shetty | Paresh Rawal
Anil Kapoor | Akshay Kumar | Kareena Kapoor | Sushmita Sen
Victor Banerjee | Perizaad Zorabian | Divya Dutta | Khalid Siddiqui
Abhishek Bachchan | Lara Dutta | Chunky Pandey | Aditya Lakhia
Amitabh Bachchan | Om Puri | Fardeen Khan | Kareena Kapoor
Sanjay Dutt | Dino Morea | Sanjay Suri | Bikram Saluja
Ajay Devgn | Sunil Shetty | Sanjay Kapoor | Arbaaz Khan
Anil Kapoor | Rani Mukerji | Manisha Koirala | Satish Kaushik
Feroz Khan | Fardeen Khan | Celina Jaitly | Pinky Harwani
Sunny Deol | Dharmendra | Amit Hingorani | Farida Jalal
Tabu | Raghuvir Yadav | Nadira Babbar | Kunal Kapoor
Ajay Devgn | Ameesha Patel | Pooja Batra | Jagdeep
Sanjay Dutt | Bipasha Basu | Sunil Shetty | Isha Koppikar
Shah Rukh Khan | Gayatri Joshi | Kishori Balal | Smith Seth
Arjun Rampal | Naseeruddin Shah | Priyanka Chopra | Singh Surendra
Jaya Bhaduri | Sabyasachi Chakraborty | Subhendu Chatterjee | Gyanesh Mukherjee
Javed Jaffrey | Gulshan Grover | Joy Fernandes | Nishith Dadhich
Tabu | Shahbaaz Khan | Mukesh Tiwari | Imran Khan
Aishwarya Rai Bachchan | Abhishek Bachchan | Satish Shah | Suhasini Mulay
Akshaye Khanna | Aftab Shivdasani | Rimi Sen | Paresh Rawal
Sunny Deol | Sunil Shetty | Ajay Jadeja | Celina Jaitly
John Abraham | Tara Sharma | Mahima Chaudhry | Zohra Segal
Ajay Devgn | Gracy Singh | Mohan Joshi | Yashpal Sharma
Sunil Shetty | Tabu | Gulshan Grover | Pankaj Dheer
Govinda | Preity Zinta | Prem Chopra | Sadashiv Amrapurkar
Salman Khan | Bhoomika Chawla | Mahima Chaudhry | Sachin Khedekar
Aftab Shivdasani | Bipasha Basu | Rahul Dev | Emraan Hashmi
Antara Mali | Rajpal Yadav | Asif Basra | Rita Bhaduri
Sunil Dutt | Sanjay Dutt | Arshad Warsi | Gracy Singh
Amitabh Bachchan | Rani Mukerji | Shernaz Patel | Ayesha Kapoor
Naseeruddin Shah | Dilip Prabhavalkar | Tara Deshpande | Akash Khurana
Sadashiv Amrapurkar | Liyaqat Bari | Brij Gopal | Rajendra Gupta
Vijay Raaz | Sadiya Siddiqui | Saurabh Shukla | Maria Goretti
Amitabh Bachchan | John Abraham | Bipasha Basu | Supriya Pilgaonkar
Babbu Mann | Ammtoje Mann | Mahie Gill | Mukul Dev
Saif Ali Khan | Rani Mukerji | Kiron Kher | Rati Agnihotri
Om Puri | Nandita Das | Amitabh Dayal | Aditya Kotdar
Sohail Khan | Tim Lawrence | Scott Hinds | Phil Jones
Rahul Bose | Ahmed Chaudhary | Nandita Das | Vinit Kumar
Zulfi Sayed | Masumeh Makhija | Rati Agnihotri | Tinnu Anand
Manisha Koirala | Suman Ranganathan | Aryan Vaid | Shweta Menon
Suneil Anand | Ting Leung | Sadashiv Amrapurkar | Leher Kala
Rahul Bose | Perizaad Zorabian | Vijay Raaz | Saurabh Shukla
Ajay Devgn | Abhishek Bachchan | Rani Mukerji | Vivek Oberoi
Ajay Devgn | Abhishek Bachchan | Bipasha Basu | Mukesh Tiwari
Sharman Joshi | Sahil Khan | Anil Chaudhary | Snehal Dabi
Sushmita Sen | Lucy Bartholomew | Tushar Dalvi | Jatin Karia
Shah Rukh Khan | Raveena Tandon | Navneet Nishan | Avtar Gill
Faisal Khan | Rajat Bedi | Aditya Pancholi | Priya Gill
Nauheed Cyrusi | Avtar Gill | Vidya Malvade | Ashmit Patel
Sadashiv Amrapurkar | Rakesh Bedi | Kajal Chakraborty | Aarti Chhabria
Arjan Bajwa | Rajat Bedi | Gaurav Chanana | Prem Chopra
Om Puri | Revathy | Gul Panag | Preeti Dayal
Rotem Bar | Rakesh Bedi | Avtar Gill | Gulshan Grover
Mukesh Ahuja | Abhay Bhargav | Suresh Chatwal | Milind Gunaji
Arshad Warsi | Prashant Narayanan | Sandhya Mridul | Pratima Kazmi
Amitabh Bachchan | Sanjay Dutt | Akshaye Khanna | Amrita Rao
Brande Roderick | Noemi Besedes | Hrishitaa Bhatt | Ritesh Deshmukh
Arun Bakshi | Suchindra Bali | Poonam Jhawer | Ayesha Jhulka
Shahbaaz Khan | Kulbhushan Kharbanda | Poornima Pathwardhan | Raghu Raj
Amitabh Bachchan | Akshay Kumar | Priyanka Chopra | Shefali Shetty
Kapil Jhaveri | Saloni Aswani | Amrish Puri | Ashutosh Rana
Devaraj | Dimple | Feroz | Reena Kapoor
Kavi Kumar Azad | Amitabh Bachchan | Charlie | Sweety Chhabra
Pankaj Berry | Rahul Bhat | Seema Biswas | Gayatri
Bobby Deol | Priyanka Chopra | Kabir Bedi | Sanjay Narvekar
Deepak Bandhu | Ashney Shroff | Vicky Ahuja | Ravindra Bundela
